asset_no,warranty_start,warranty_expire,warranty_months
130000003633,2017-06-19,2029-06-19,144
130000003875,2017-11-09,2029-11-09,144
130000003876,2017-11-09,2029-11-09,144
130000003931,2018-04-24,,
130000003942,2018-01-17,,
130000004332,2018-05-01,,
130000004366,2018-04-09,2023-04-09,61
130000004367,2018-04-09,2023-04-09,61
130000004438,2019-09-17,2024-09-17,61
130000006221,2018-09-10,2023-09-10,61
130000006222,2018-09-10,2023-09-10,61
130000006223,2018-09-10,2023-09-10,61
130000006224,2018-09-10,2023-09-10,61
130000006310,2018-08-14,2023-08-14,61
130000007014,2019-01-17,2024-01-17,61
130000007015,2019-01-17,2024-01-17,61
130000007016,2019-01-17,2024-01-17,61
130000007017,2019-01-17,2024-01-17,61
130000007050,2018-11-01,2023-11-01,61
130000007051,2018-11-01,2023-11-01,61
130000007052,2018-11-01,2023-11-01,61
130000007053,2018-11-01,2023-11-01,61
130000007535,2019-02-07,2024-02-07,61
130000007657,2018-12-28,2023-12-28,61
130000007658,2018-12-28,2023-12-28,61
130000007659,2018-12-28,2023-12-28,61
130000007660,2018-12-28,2023-12-28,61
130000007661,2018-12-28,2023-12-28,61
130000007662,2018-12-28,2023-12-28,61
130000007762,2019-01-17,2024-01-17,61
130000007763,2019-01-17,2024-01-17,61
130000007764,2019-01-17,2024-01-17,61
130000007765,2019-01-17,2024-01-17,61
130000007766,2019-01-09,2024-01-09,61
130000007767,2019-01-09,2024-01-09,61
130000007768,2019-01-09,2024-01-09,61
130000007769,2019-01-09,2024-01-09,61
130000007770,2019-01-09,2024-01-09,61
130000007771,2019-01-09,2024-01-09,61
130000007823,2019-07-02,2024-07-02,61
130000007830,2019-01-25,2024-01-25,61
130000007831,2019-01-25,2024-01-25,61
130000007832,2019-01-25,2024-01-25,61
130000007833,2019-01-25,2024-01-25,61
130000007834,2019-01-25,2024-01-25,61
130000007835,2019-01-25,2024-01-25,61
130000007836,2019-02-04,2024-02-04,61
130000007837,2019-02-04,2024-02-04,61
130000007838,2019-02-04,2024-02-04,61
130000007839,2019-02-04,2024-02-04,61
130000007840,2019-02-04,2024-02-04,61
130000007841,2019-02-04,2024-02-04,61
130000007863,2019-01-22,2024-01-22,61
130000007864,2019-01-22,2024-01-22,61
130000007865,2019-01-22,2024-01-22,61
130000007866,2019-01-22,2024-01-22,61
130000007867,2019-01-22,2024-01-22,61
130000007868,2019-01-22,2024-01-22,61
130000007934,2019-01-31,2024-01-31,61
130000007935,2019-01-31,2024-01-31,61
130000007936,2019-01-31,2024-01-31,61
130000007937,2019-01-31,2024-01-31,61
130000007938,2019-01-31,2024-01-31,61
130000007939,2019-01-31,2024-01-31,61
130000008098,2019-01-14,2024-01-14,61
130000008099,2019-01-25,2024-01-25,61
130000008100,2019-01-25,2024-01-25,61
130000008101,2019-01-25,2024-01-25,61
130000008102,2019-01-25,2024-01-25,61
130000008103,2019-01-25,2024-01-25,61
130000008104,2019-01-25,2024-01-25,61
130000008425,2019-02-27,2024-02-27,61
130000008426,2019-02-27,2024-02-27,61
130000008427,2019-02-27,2024-02-27,61
130000008428,2019-02-27,2024-02-27,61
130000008432,2019-02-26,2024-02-26,61
130000008433,2019-02-26,2024-02-26,61
130000008434,2019-02-26,2024-02-26,61
130000008435,2019-02-26,2024-02-26,61
