branch_code,branch_name,asset_no,description
0002,ท่าวัด,130000009395,"เครื่องปรับอากาศ YORK FLCN 60AVP 60,000BTU"
0002,ท่าวัด,130000009396,"เครื่องปรับอากาศ YORK FLCN 60AVP 60,000BTU"
0002,ท่าวัด,130000009397,"เครื่องปรับอากาศ YORK FLCN 60AVP 60,000BTU"
0002,ท่าวัด,130000009398,"เครื่องปรับอากาศ YORK FLCN 60AVP 60,000BTU"
0002,ท่าวัด,130000014535,ตู้แช่ Reach-in 3 Door SPM-1503
0002,ท่าวัด,130000014536,ตู้แช่ Reach-in 3 Door SPM-1503
0002,ท่าวัด,130000025411,ตู้แช่น้ำแข็ง Chest Freezer SNG-0225
0002,ท่าวัด,130000027488,ตู้แช่ Upright Freezer SNR-0503
0002,ท่าวัด,130021004320,ตู้แช่ฝาทึบ Chest Freezer SCF-0275 / SNH-0265
0004,ท่าเรือ,130000015149,ตู้แช่ฝาทึบ Chest Freezer SCF-0275
0004,ท่าเรือ,130023005796,ตู้แช่ Upright Freezer 6 Step SNR-0505
0004,ท่าเรือ,130023009611,ตู้แช่ Counter Chiller SCR3-1207AR
0004,ท่าเรือ,130023017589,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,130023017590,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,130023017591,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,130023017592,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,130023017593,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,130023017594,"เครื่องปรับอากาศ Hitachi RPFC-B42TNT2NH 42,000 BTU"
0004,ท่าเรือ,131000013957,ตู้ OPEN TYPE รุ่น OS 6 DRA
0004,ท่าเรือ,131000013959,"ตู้แช่ 3ประตู รุ่น ""DINO""Temp+2+6"
0004,ท่าเรือ,131000013960,"ตู้แช่ 2 ประตู รุ่น ""DINO""Temp+20--22"
0004,ท่าเรือ,131000015378,"ตู้แช่ 3ประตู รุ่น ""DINO""Temp+2+6"
0004,ท่าเรือ,320000004373,ตู้แช่น้ำแข็ง
0008,จอมบึง 1,130000014537,ตู้แช่ Reach-in 3 Door SPM-1503
0008,จอมบึง 1,130000018627,"เครื่องปรับอากาศ CARRIER Ceiling Type 60,000 BTU"
0008,จอมบึง 1,130000018628,"เครื่องปรับอากาศ CARRIER Ceiling Type 60,000 BTU"
0008,จอมบึง 1,130000018629,"เครื่องปรับอากาศ CARRIER Ceiling Type 60,000 BTU"
0008,จอมบึง 1,130000018630,"เครื่องปรับอากาศ CARRIER Ceiling Type 60,000 BTU"
